
DEF
Danyle Pearce (FRE)
Samuel Switkowski (FRE)
Matt Taberner (FRE)
Darcy Tucker (FRE)
Michael Walters (FRE)
Callum Ah Chee (GCS)
Ben Ainsworth (GCS)
Charlie Ballard (GCS)
Michael Barlow (GCS)
Sam Day (GCS)
Sean Lemmens (GCS)
Tom J. Lynch (GCS)
Darcy MacPherson (GCS)
Jack Martin (GCS)
Wil Powell (GCS)
Brad Scheer (GCS)
Peter Wright (GCS)
Aaron Young (GCS)
Aaron Black (GEE)
Wylie Buzza (GEE)
Nakia Cockatoo (GEE)
Stewart Crameri (GEE)
Cory Gregson (GEE)
Tom Hawkins (GEE)
Jack Henry (GEE)
Timm House (GEE)
Jamaine Jones (GEE)
Lincoln McCarthy (GEE)
Sam Menegola (GEE)
Daniel Menzel (GEE)
Gryan Miers (GEE)
Jordan Murdoch (GEE)
Brandan Parfitt (GEE)
James Parsons (GEE)
Esava Ratugolea (GEE)
Sam Simpson (GEE)
Rhys Stanley (GEE)
Harry Taylor (GEE)
Aiden Bonar (GWS)
Jack Buckley (GWS)
Jeremy Cameron (GWS)
Brent Daniels (GWS)
Matt de Boer (GWS)
Brett Deledio (GWS)
Matthew Flynn (GWS)
Zac Giles-Langdon (GWS)
Toby Greene (GWS)
Lachlan Keeffe (GWS)
Daniel Lloyd (GWS)
Rory Lobb (GWS)
Jonathon Patton (GWS)
Sam J. Reid (GWS)
Will Setterfield (GWS)
Zachary Sproule (GWS)
Tim Taranto (GWS)
Lachlan Tiziani (GWS)
Luke Breust (HAW)
Taylor Duryea (HAW)
Jack Gunston (HAW)
Oliver Hanrahan (HAW)
Jarman Impey (HAW)
Changkuoth Jiath (HAW)
Will Langford (HAW)
Mitch Lewis (HAW)
Teia Miles (HAW)
Tim O'Brien (HAW)
Paul Puopolo (HAW)
Cyril Rioli (HAW)
Jackson Ross (HAW)
Jarryd Roughead (HAW)
Ryan Schoenmakers (HAW)
James Sicily (HAW)
Brendan Whitecross (HAW)
Oskar Baker (MEL)
Harley Balic (MEL)
Tomas Bugg (MEL)
Bayley Fritsch (MEL)
Jeff Garlett (MEL)
Mitch Hannan (MEL)
James Harmes (MEL)
Jesse Hogan (MEL)
Dion Johnstone (MEL)
Dean Kent (MEL)
Tom McDonald (MEL)
Jake Melksham (MEL)
Alex Neal-Bullen (MEL)
Cameron Pedersen (MEL)
Christian Petracca (MEL)
Timothy Smith (MEL)
Charlie Spargo (MEL)
Aaron Vandenberg (MEL)
Sam Weideman (MEL)
Paul Ahern (NTH)
Jed Anderson (NTH)
Shaun Atley (NTH)
Ben Brown (NTH)
Majak Daw (NTH)
Taylor Garner (NTH)
Nathan Hrovat (NTH)
Nick Larkey (NTH)
Ben McKay (NTH)
Gordon Narrier (NTH)
Jy Simpkin (NTH)
Kayne Turner (NTH)
Jarrad Waite (NTH)
Mason Wood (NTH)
Cameron Zurhaar (NTH)
Travis Boak (PTA)
Charlie Dixon (PTA)
William Frampton (PTA)
Robbie Gray (PTA)
Sam Gray (PTA)
Sam Hayes (PTA)
Aidyn Johnson (PTA)
Peter Ladhams (PTA)
Todd Marshall (PTA)
Steven Motlop (PTA)
Jake Neade (PTA)
Lindsay Thomas (PTA)
Jack Watts (PTA)
Justin Westhoff (PTA)
Chad Wingard (PTA)
Liam Baker (RIC)
Noah Balta (RIC)
Shai Bolton (RIC)
Daniel Butler (RIC)
Josh Caddy (RIC)
Jason Castagna (RIC)
Mabior Chol (RIC)
Nathan Drummond (RIC)
Shane Edwards (RIC)
Ben *** Griffiths (RIC)
Jack Higgins (RIC)
Kane Lambert (RIC)
Sam Lloyd (RIC)
Callum Moore (RIC)
Patrick Naish (RIC)
Jack Riewoldt (RIC)
Daniel Rioli (RIC)
Tyson Stengle (RIC)
Jacob Townsend (RIC)
Blake Acres (STK)
Josh Battle (STK)
Jack Billings (STK)
Josh Bruce (STK)
Ray Connellan (STK)
Jade Gresham (STK)
Ben Long (STK)
Jack Lonie (STK)
Rowan Marshall (STK)
Paddy McCartin (STK)
Tim Membrey (STK)
Darren Minchington (STK)
Maverick Weller (STK)
Nathan Wright (STK)
Jake Brown (SYD)
Harry Cunningham (SYD)
Jordan Dawson (SYD)
Oliver Florent (SYD)
Jordan Foote (SYD)
Lance Franklin (SYD)
Will Hayward (SYD)
Isaac Heeney (SYD)
George Hewett (SYD)
Kieren Jack (SYD)
Tom McCartin (SYD)
Tom Papley (SYD)
Toby Pink (SYD)
Sam Reid (SYD)
Daniel Robinson (SYD)
Gary Rohan (SYD)
Ben Ronke (SYD)
James Rose (SYD)
Kurt *** Tippett (SYD)
Dean Towers (SYD)
Hayden Crozier (WBD)
Luke Dahlhaus (WBD)
Caleb Daniel (WBD)
Tory Dickson (WBD)
Josh Dunkley (WBD)
Timothy English (WBD)
Billy Gowers (WBD)
Fergus Greene (WBD)
Mitch Honeychurch (WBD)
Lin Jong (WBD)
Patrick Lipinski (WBD)
Toby McLean (WBD)
Nathan Mullenger-McHugh (WBD)
Liam Picken (WBD)
Jack Redpath (WBD)
Josh Schache (WBD)
Clay Smith (WBD)
Jackson Trengove (WBD)
Mitch Wallis (WBD)
Lukas Webb (WBD)
Brendon Ah Chee (WCE)
Matthew Allen (WCE)
Oscar Allen (WCE)
Tarir Bayok (WCE)
Jarrod Brander (WCE)
Ryan Burrows (WCE)
Jamie Cripps (WCE)
Jack Darling (WCE)
Mark Hutchings (WCE)
Malcolm Karpany (WCE)
Josh J. Kennedy (WCE)
Mark LeCras (WCE)
Fraser McInnes (WCE)
Kurt Mutimer (WCE)
Luke Partington (WCE)
Jack Petruccelle (WCE)
Willie Rioli (WCE)
Liam Ryan (WCE)
Daniel Venables (WCE)
Jake Waterman (WCE)
